Id,Action,Extension,Date,Name,"IP Address"
1,"User kupul-ca logged in to admin",Users,"2023-11-24 06:12:38 UTC","CCP User",Disabled
2,"User kupul-ca logged in to admin",Users,"2023-11-28 06:57:16 UTC","CCP User",Disabled
3,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Media,"2023-11-28 07:12:57 UTC","CCP User",Disabled
4,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Templates,"2023-11-28 07:13:49 UTC","CCP User",Disabled
5,PLG_SYSTEM_ACTIONLOGS_CONTENT_DELETED,Media,"2023-11-28 07:19:07 UTC","CCP User",Disabled
6,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Media,"2023-11-28 07:19:20 UTC","CCP User",Disabled
7,PLG_SYSTEM_ACTIONLOGS_CONTENT_DELETED,Media,"2023-11-28 07:19:39 UTC","CCP User",Disabled
8,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Media,"2023-11-28 07:20:08 UTC","CCP User",Disabled
9,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Templates,"2023-11-28 07:20:21 UTC","CCP User",Disabled
10,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Media,"2023-11-28 07:24:54 UTC","CCP User",Disabled
11,PLG_SYSTEM_ACTIONLOGS_CONTENT_DELETED,Media,"2023-11-28 07:25:08 UTC","CCP User",Disabled
12,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Templates,"2023-11-28 07:25:15 UTC","CCP User",Disabled
13,PLG_SYSTEM_ACTIONLOGS_CONTENT_DELETED,Media,"2023-11-28 07:27:36 UTC","CCP User",Disabled
14,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Media,"2023-11-28 07:27:44 UTC","CCP User",Disabled
15,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Templates,"2023-11-28 07:27:52 UTC","CCP User",Disabled
16,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Categories,"2023-11-28 07:32:44 UTC","CCP User",Disabled
17,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Categories,"2023-11-28 07:33:00 UTC","CCP User",Disabled
18,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Media,"2023-11-28 07:43:28 UTC","CCP User",Disabled
19,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Articles,"2023-11-28 07:44:49 UTC","CCP User",Disabled
20,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Articles,"2023-11-28 07:51:09 UTC","CCP User",Disabled
21,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Articles,"2023-11-28 07:59:25 UTC","CCP User",Disabled
22,PLG_SYSTEM_ACTIONLOGS_CONTENT_ADDED,Articles,"2023-11-28 08:03:33 UTC","CCP User",Disabled
